id,parent_id,url,zh,en,started,ended,updated,subject_tag_ids,media_tag_ids,tool_tag_ids,stage_tag_ids,state_tag_ids,license_tag_ids
llscanner,,https://etblue.github.io/llscanner/,勞基法掃描器,Labor Laws Scanner,2017-03-01,2018-01-01,,open_data;law;labor;sts,web_app,web_planning_or_ux;ui_design;react;react_router;redux;webpack;semantic_ui;schema_design,proto,handling,mit
llscanner_theme_song,llscanner,https://blend.io/etblue/scanner,《勞基法掃描器》主題曲,"Theme Song for ""Labor Laws Scanner""",2017-09-01,,,open_data;law;labor;sts,song,garage_band;compose;lyric;vocal,online,finished,cc_by-nc
llscanner_release_note,llscanner,https://etblue.blogspot.com/2018/02/experiment-labor-laws-scanner.html,實驗心得：勞基法掃描器——如何把法條轉譯成自動化的判讀程式？以勞動基準法為例,Release Note for Labor Laws Scanner,,2018-02-28,,open_data;law;labor;sts,article,,online,finished,
jrpilot,,https://etblue.github.io/jrpilot/,提案闖天關,JRConf Proposals Explorer,2017-08-01,2017-08-01,,open_data;law;public_deliberation;sts,web_app,web_planning_or_ux;ui_design;react;semantic_ui;schema_design,online,finished,mit
jrpilot_release_note,jrpilot,https://etblue.blogspot.com/2017/08/open-data-combo-deliberative-democracy.html,實驗心得：提案闖天關—— Open Data 與審議民主怎麼 Combo？以司改國是會議資料為例,Release Note for JRConf Proposals Explorer,,2017-08-24,,open_data;law;public_deliberation;sts,article,,online,finished,cc_by-nc
ocf_web,,http://ocf.tw/,開放文化基金會官方網站,Official Website of Open Culture Foundation,2016-06-01,2016-12-01,,open_culture,content_site,web_planning_or_ux;project_management;semantic_ui;jekyll;schema_design,online,finished,mit
ocf_web_release_note,ocf_web,https://etblue.blogspot.tw/2017/06/ocf-official-website.html,成果發表：開放文化基金會（OCF）官方網站,Release Note for Official Website of Open Culture Foundation,,2017-06-22,,open_culture,article,,online,finished,
debater,,http://etblue.github.io/debater/,辯論家,Debater,2016-03-01,2016-08-01,,open_data;media;gossip;sts,web_app,web_planning_or_ux;ui_design;bootstrap;slim;gulp;ai,online,finished,mit
debater_speech,debater,https://docs.google.com/presentation/d/1RxJxZ_HAWZkDNIy9y2UZPZ3M7oNIxcdLJd6UzIO9egc/edit?usp=sharing,Debater 辯論家～網路筆戰大亂鬥 ,Speech about Debater in COSCUP 2016,,2016-08-21,,open_data;media;gossip;sts,slides;infographic,google_slides,online,finished,
debater_theme_music,debater,https://blend.io/etblue/debater,《Debater》主題曲,"Theme Song for ""Debater""",2016-07-01,,2018-03-31,open_data;media;gossip;sts,song,garage_band;compose;lyric;vocal,online,finished,cc_by-nc
debater_speech_note,debater,https://etblue.blogspot.com/2018/01/debater-coscup-2016.html,演講紀錄：Debater 辯論家～網路筆戰大亂鬥 + 同名主題曲 @ COSCUP 2016,,,2018-01-19,,open_data;media;gossip;sts,article,,online,finished,
gw2inventory,,http://etblue.github.io/gw2inventory,Guild Wars 2 Inventory,Guild Wars 2 Inventory,2015-11-01,,,game,web_app,web_planning_or_ux;ui_design;slim;bootstrap;gulp,online,handling,mit
hackfoldr_2.0,,http://beta.hackfoldr.org/,HackFoldr 2.0,HackFoldr 2.0,2014-07-01,2014-10-01,,open_culture,web_app,ui_design;handlebars;jade;semantic_ui;fire.app,online,finished,
storyliner,,https://etblue.github.io/storyliner,Storyliner,Storyliner - The Interactive Gossip Viewer,2018-04-01,,,open_data;media;gossip;sts,web_app,web_planning_or_ux;ui_design;react;semantic_ui;gh_pages,online,handling,
storyliner_release_note,storyliner,https://etblue.blogspot.com/2018/04/storyliner-interactive-gossip-viewer.html,成果發表：Storyliner——輕鬆替八卦事件製作互動式懶人包，以囧星人與聯合報願景工程的採訪爭議為例,Release Note for Storyliner - The Interactive Gossip Viewer,2018-04-16,2018-04-17,,open_data;media;gossip;sts,article,,online,finished,
mermaid,,https://blend.io/etblue/mermaid,美人魚,Mermaid,2018-04-01,,,labor,song,garage_band;compose;vocal;ai,online,finished,cc_by-nc
noodles,,https://blend.io/etblue/noodles,金黃的泡麵,Noodles,2014-10-01,,,md_lang;education,song,garage_band;compose;lyric;vocal,online,finished,cc_by
flower,,https://blend.io/etblue/flower,雨夜花‧轉來,Flowers In The Rainy Night: Detention,2017-02-01,,,tw_lang;game;formosa,song,garage_band;compose;lyric;vocal,online,finished,cc_by
ocean,,https://blend.io/etblue/ocean,《如果台灣的四周是海洋》主題曲,"Ocean: Theme Song for ""If Taiwan is Surrounded by the Sea""",2017-11-01,,,formosa,song,garage_band;compose;lyric;vocal,online,finished,cc_by
blulu,,https://blulu.tw/,Blulu Metrics - 重新思考網路工具與審議民主的關係,Blulu Metrics - A Rethink of the Relationship Between Web Tools and Deliberative Democracy,,,,public_deliberation;software;sts,content_site,jekyll;jquery;semantic_ui,online,finished,cc_by-nc
blulugamma,blulu,https://docs.google.com/presentation/d/17S4TlF-nkxrLOA4voItLA8L8aQu8sxNV1CwUBFshodg/edit?usp=sharing,從 Blulu 量表看透明的黑箱,Blulu Metrics Gamma Ver. : The Transparent Black Box,,2017-05-13,,public_deliberation;software;sts,slides;infographic,google_slides,online,finished,cc_by-nc
blulugamma_video,blulugamma,https://www.youtube.com/watch?v=J-ijGoWQtvQ,2017-05-13 從 Blulu 量表 (Gamma) 看透明的黑箱 / ETBlue @ 民主深化在臺灣？！系列講座＆研討會,,2017-05-13,2017-05-13,,public_deliberation;software;sts,video,,online,finished,cc_by-nc
blulugamma_speech_note,blulugamma,https://etblue.blogspot.com/2017/05/blulu-gamma-speech-diary.html,演講紀錄： Blulu Gamma @ 民主深化在台灣,"Speech Note for ""Blulu Gamma""",,2017-05-19,,public_deliberation;software;sts,article,,online,finished,cc_by-nc
blulugamma_theme_music,blulugamma,https://blend.io/etblue/blulugamma,《Blulu Gamma 版》主題曲,"Theme Song of ""Blulu Gamma""",2017-04-01,,,public_deliberation;software;sts,song,garage_band;compose;lyric;vocal,online,finished,cc_by-nc
